HAGRID	kingdom	phylum	class	order	family	genus	species	common_name	female_maturity_days	male_maturity_days	gestation_incubation_days	weaning_days	litter_clutch_size	litters_clutches_per_year	inter_litter_interbirth_interval	birth_weight_g	weaning_weight_g	adult_weight_g	growth_rate_recip_days	maximum_longevity_yrs	source	specimen_origin	sample_size	data_quality	imr_per_yr	mrdt_yrs	metabolic_rate_w	body_mass_g	temperature_k	references
00003	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria	Daphnia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	129412951296
00005	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila melanogaster	Fruit fly	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	captivity	large	acceptable	0.05	0.04	NA	NA	NA	22032475368692403e21
00006	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	Honey bee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	812	unknown	medium	acceptable	NA	NA	NA	NA	NA	6340740874180584e39
00008	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	Cardiocondyla obscurior	Cardiocondyla obscurior	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1293	captivity	medium	acceptable	NA	NA	NA	NA	NA	1293
00009	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	Lasius niger	Black garden ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	411	unknown	medium	acceptable	NA	NA	NA	NA	NA	411813814
00010	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	Pheidole dentata	Pheidole dentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	1156	captivity	medium	questionable	NA	NA	NA	NA	NA	1156
00011	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	Bicyclus anynana	Squinting bush brown	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	811	wild	medium	acceptable	NA	NA	NA	NA	NA	418809811
00012	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus	American lobster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	wild	medium	acceptable	NA	NA	NA	NA	NA	213594
00015	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina bombina	Firebelly toad	1095	1095	NA	NA	190	NA	NA	NA	NA	NA	NA	20	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485525749
00016	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina orientalis	Oriental firebelly toad	NA	NA	NA	NA	148	NA	NA	NA	NA	NA	NA	15.8	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451525749
00017	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina variegata	Yellow-bellied toad	NA	NA	NA	NA	73	NA	NA	NA	NA	NA	NA	29	NA	captivity	medium	acceptable	NA	NA	NA	NA	NA	24525749
00018	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus americanus	American toad	910	910	8	NA	6000	NA	365	NA	NA	21.7667	NA	36	525	captivity	medium	acceptable	NA	NA	0.00829	21.6	288	37268426525749
00019	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas	Western toad	1095	1095	6	NA	5200	NA	NA	NA	NA	NA	NA	11.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	437451526749
00020	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus canorus	Yosemite toad	1825	1460	11	NA	1750	NA	NA	NA	NA	NA	NA	15	503	wild	medium	acceptable	NA	NA	NA	NA	NA	503526749
00021	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus cognatus	Great plains toad	730	730	4	NA	11074	NA	NA	NA	NA	NA	NA	10.7	485	captivity	small	questionable	NA	NA	NA	NA	NA	485526749
00022	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus debilis	Green toad	NA	NA	NA	NA	1300	NA	NA	NA	NA	NA	NA	12.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00023	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus hemiophrys	Canadian toad	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451528
00024	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus punctatus	Red-spotted toad	730	730	NA	NA	1500	NA	NA	NA	NA	NA	NA	11.3	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00025	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus retiformis	Sonoran green toad	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00026	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus terrestris	Southern toad	NA	NA	3	NA	3250	NA	NA	NA	NA	19.267	NA	10	451	captivity	medium	acceptable	NA	NA	0.00698	19.2	288	37451749
00027	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	Atelopus varius	Veragoa stubfoot toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451
00028	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo	Common European toad	1460	1460	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	4515255261134
00029	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	Incilius alvarius	Colorado river toad	NA	1095	NA	NA	7750	NA	NA	NA	NA	NA	NA	15.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00030	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	Nectophrynoides asperginis	Kihansi spray toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	990	captivity	medium	questionable	NA	NA	NA	NA	NA	990
00031	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	Peltophryne lemur	Ridge-headed toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00032	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	Peltophryne peltocephala	Cuban toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485
00033	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	Pseudepidalea viridis	European green toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451
00034	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	Rhaebo blombergi	Colombian giant toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.7	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00035	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella arenarum	Argentine toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	451525
00036	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella marina	Cane toad	365	365	2	NA	10000	NA	NA	NA	NA	106.25	NA	24.8	485	captivity	large	acceptable	NA	NA	0.0303	105	293	37296485749
00037	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella schneideri	Eurura toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00038	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys aurita	Common horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00039	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys calcarata	Colombian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00040	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys cornuta	Amazonian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00041	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys ornata	Ornate horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00042	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates auratus	Green and black dart-poison frog	365	365	12	NA	6	NA	NA	NA	NA	NA	NA	20.5	448	captivity	large	acceptable	NA	NA	NA	NA	NA	448749
00043	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates leucomelas	Yellow-banded poison frog	75	75	12	NA	7	NA	NA	NA	NA	NA	NA	11.5	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451749
00044	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates tinctorius	Blue poison-dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	large	low	NA	NA	NA	NA	NA	451
00045	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	Oophaga histrionica	Kokoe-pa poison dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00046	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	Oophaga pumilio	Strawberry poison frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00047	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	Phyllobates vittatus	Golfo dulce poison-dart frog	304	304	15	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA	749
00048	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	Hoplobatrachus occipitalis	African tigrine frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.1	NA	10.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00049	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	Acris blanchardi	Blanchard's cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	1096
00050	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	Acris crepitans	Northern cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	485	captivity	small	questionable	NA	NA	NA	NA	NA	4857491096
00051	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	Agalychnis callidryas	Red-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	large	low	NA	NA	NA	NA	NA	485
00052	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	Agalychnis spurrelli	Maroon-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00053	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	Diaglena spatulata	Treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00054	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla arborea	European tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00055	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla chrysoscelis	Cope's gray treefrog	730	547	21	NA	35	NA	NA	NA	NA	NA	NA	7.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485528749
00056	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla cinerea	Green treefrog	730	730	NA	NA	1222	NA	NA	NA	NA	NA	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA	485749
00057	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla gratiosa	Barking treefrog	NA	NA	NA	NA	2250	NA	NA	NA	NA	NA	NA	12.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451749
00058	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla japonica	Japanese treefrog	1278	1278	NA	NA	920	NA	NA	NA	NA	NA	NA	8.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00059	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla squirella	Squirrel treefrog	NA	NA	1	NA	1000	1	NA	NA	NA	NA	NA	8.5	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00060	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla versicolor	Gray treefrog	730	730	4	NA	1800	NA	NA	NA	NA	7.2	NA	7.8	543	captivity	medium	acceptable	NA	NA	0.00433	6.97	290.5	37528543749
