species	group	type	trophic	mass_g	mass_reference	density	density_reference
Alouatta caraya	mammals	primates	primary consumers	7250	123	25	486
Alouatta palliata	mammals	primates	primary consumers	6550	123	51	"181, 185"
Alouatla seniculus	mammals	primates	primary consumers	7250	123	74	"181, 486"
Aotus trivirgatus	mammals	primates	primary consumers	960	123	100	714
Ateles belzebuth	mammals	primates	primary consumers	6000	123	13.5	181
Ateles geoffroy	mammals	primates	primary consumers	6000	123	45	181
Avahi laniger	mammals	primates	primary consumers	1070	39	150	"111, 562"
Callicebus moloch	mammals	primates	primary consumers	680	123	255	181
Callicebus torquatus	mammals	primates	primary consumers	1200	181	15	361
Callithrix jacchus	mammals	primates	primary consumers	241	182	900	181
Cebus albifrons	mammals	primates	primary consumers	2520	"147, 181"	37	147
Cebus capucinus	mammals	primates	primary consumers	2600	"123, 124, 181"	80	"26, 181"
Cebus olivaceous	mammals	primates	primary consumers	2600	123	35	183
Cercocebus albigena	mammals	primates	primary consumers	8000	123	33	"106, 685, 686"
Cercocebus galeritus	mammals	primates	primary consumers	6000	123	45	"124, 550"
Cercopithecus aethiops	mammals	primates	primary consumers	4050	123	53	"160, 165, 240,273, 636, 637, 638"
Cercopithecus ascanius	mammals	primates	primary consumers	3550	123	108	639
Cercopithecus campbelli	mammals	primates	primary consumers	3600	123	20	68
Cercopithecus cephus	mammals	primates	primary consumers	3500	123	20	"243, 550"
Cercopithecus mitis	mammals	primates	primary consumers	4500	123	42	"123, 124"
Cercopithecus neglectus	mammals	primates	primary consumers	4350	123	34	"123, 124"
Cercopithecus nictitans	mammals	primates	primary consumers	4950	123	22.5	550
Cercopithecus pogonias	mammals	primates	primary consumers	2700	123	22.5	550
Cheirogaleus intermedius	mammals	primates	primary consumers	177	39	250	109
Colobus badius	mammals	primates	primary consumers	8150	123	230	"123, 124"
Colobus guereza	mammals	primates	primary consumers	9850	123	112	"166, 360, 725"
Colobus salanas	mammals	primates	primary consumers	9500	124	30	124
Erythrocebus patas	mammals	primates	primary consumers	7800	124	0.3	124
Euoticus elegantulus	mammals	primates	primary consumers	300	"109, 124"	17.5	109
Galago alleni	mammals	primates	primary consumers	260	"109, 124"	17.5	109
Gorilla gorilla	mammals	primates	primary consumers	127000	123	1.8	124
Hylobates klossi	mammals	primates	primary consumers	5800	123	30	124
Hylobates lar	mammals	primates	primary consumers	5800	123	6.2	445
Hylobates muelleri ( - moloch)	mammals	primates	primary consumers	6100	123	22	705
Indri indri	mammals	primates	primary consumers	12500	123	12	"540, 541"
Lepilemur mustelinus	mammals	primates	primary consumers	600	123	288	111
Lemur catta	mammals	primates	primary consumers	2700	123	250	562
Lemnur fulvus	mammals	primates	primary consumers	2100	123	1030	"643, 656"
Lemur mongoz	mammals	primates	primary consumers	1700	"39, 124"	350	562
Macaca fascicularis	mammals	primates	primary consumers	5000	123	25	"124, 425, 445,622, 705"
Macaca mulatta	mammals	primates	primary consumers	7850	123	35	"294, 485"
Macaca nemestrina	mammals	primates	primary consumers	9100	123	20	"124, 425, 445"
Macaca sinica	mammals	primates	primary consumers	5150	123	100	124
Microcebus coquereli	mammals	primates	primary consumers	385	526	121	"525, 526"
Microcebus murinus	mammals	primates	primary consumers	725	526	215	"525, 526"
Miopithecus lalapoin	mammals	primates	primary consumers	1250	123	26.2	242
Pan paniscus	mammals	primates	primary consumers	22700	534	4	384
Pan troglodytes	mammals	primates	primary consumers	5000	123	2.5	124
Papio anubis	mammals	primates	primary consumers	19500	123	10.3	"116, 165, 261,"
Papio oynocephalus	mammals	primates	primary consumers	17500	123	4	"285, 578, 675 124"
Papio hamadryas	mammals	primates	primary consumers	13900	123	1.8	382
Papio papio	mammals	primates	primary consumers	19500	123	12.5	172
Papio ursinus	mammals	primates	primary consumers	8600	123	2.3	"124, 145"
Perodicticus potto	mammals	primates	primary consumers	1150	109	9	"108, 109"
Phaner furcifer	mammals	primates	primary consumers	425	276	675	525
Pithecta pithecia	mammals	primates	primary consumers	1024	182	40	181
Pongo pygmaeus	mammals	primates	primary consumers	53000	123	2	"424, 425"
Presbytis aygula	mammals	primates	primary consumers	6250	123	29	"124, 425"
Presbytis entellus	mammals	primates	primary consumers	12800	123	57	124
Presbytis cristatus	mammals	primates	primary consumers	8350	123	150	123
Presbytis johni	mammals	primates	primary consumers	8150	123	107	123
Presbytis melalophos	mammals	primates	primary consumers	6300	123	42	"123, 445, 622"
Presbytis obscurus	mammals	primates	primary consumers	8350	123	33	"123, 445, 622"
Presbytis rubicunda	mammals	primates	primary consumers	6300	123	11.4	705
Presbytis senex	mammals	primates	primary consumers	8150	123	154	124
Propithecus verreauxi	mammals	primates	primary consumers	3600	123	175	562
Saguinus midas	mammals	primates	primary consumers	315	123	33	726
Saguinus oedipus	mammals	primates	primary consumers	600	181	23	181
Saimiri sciureus	mammals	primates	primary consumers	665	123	25	181
Saimiri oerstedi	mammals	primates	primary consumers	665	123	25	181
Symphalangus syndactylus	mammals	primates	primary consumers	10700	123	5.2	"117, 425, 445,"
Theropithecus gelada	mammals	primates	primary consumers	17100	123	69.5	"622 164, 165"
Adenota kob	mammals	artiodactyla	primary consumers	3400	"261, 327, 396, 495"	7.76	"66, 67, 194, 198, 208, 245,"
Aepyceros melampus	mammals	artiodactyla	primary consumers	52400	"160, 300, 301, 327, 386, 463, 495, 568, 681, 727"	13.1	"261 66, 67, 141, 142, 160, 223, 224, 265, 293, 298, 326, 368, 386, 404, 463,"
Alces alces	mammals	artiodactyla	primary consumers	403000	"93, 226, 593, 674"	0.72	"4, 74, 199, 319, 335, 343,367, 374, 468, 518, 532, 535, 603, 728"
Ammodorcas clarkei	mammals	artiodactyla	primary consumers	31000	327	0.83	597
Antidorcas marsupialis	mammals	artiodactyla	primary consumers	1800	"144, 327, 495,"	4.65	"144, 440"
Antilocapra americana	mammals	artiodactyla	primary consumers	46500	"681, 727 93"	0.93	"40, 82, 85. 271, 511, 730"
Antilope cervicapra	mammals	artiodactyla	primary consumers	29800	"184, 260"	4.8	184
Axis axis	mammals	artiodactyla	primary consumers	48100	"184, 294"	13	"184, 294, 465"
Axis porcinus	mammals	artiodactyla	primary consumers	31000	184	35	184
Bison bison	mammals	artiodactyla	primary consumers	551000	"93, 274"	0.32	"235, 236"
Bison bonasus	mammals	artiodactyla	primary consumers	850000	674	1	"64, 373, 374"
Blastocerus dichotomus	mammals	artiodactyla	primary consumers	125000	683	0.146	591
Bos banteng	mammals	artiodactyla	primary consumers	263000	184	0.85	"184, 305, 528"
Bos gaurus	mammals	artiodactyla	primary consumers	568000	184	0.61	"184, 353, 465"
Boselaphus tragocamelus	mammals	artiodactyla	primary consumers	149000	184	2.7	184
Bubalus bubalis	mammals	artiodactyla	primary consumers	274000	184	1.2	"184, 528, 669"
Capra hircus	mammals	artiodactyla	primary consumers	75000	674	3.1	"89, 589, 590"
Capra waalie	mammals	artiodactyla	primary consumers	100000	164	4.6	164
Capreolus capreolus	mammals	artiodactyla	primary consumers	1700	"674, 683"	8.6	"4, 64, 89,"
Cephalophus natalensis	mammals	artiodactyla	primary consumers	14000	327	8	"374, 549 153"
Cephalophus rufilatus	mammals	artiodactyla	primary consumers	12500	327	4	675
Cervus canadensis	mammals	artiodactyla	primary consumers	310000	93	0.93	"306, 366, 423,730"
Cervus elaphus	mammals	artiodactyla	primary consumers	175000	"674, 683"	5.48	"37, 62, 64, 89,107, 365, 374,415, 416, 489, 549, 628"
Cerous duvauceli	mammals	artiodactyla	primary consumers	170000	184	12.7	"184, 303, 587"
Cervus unicolor	mammals	artiodactyla	primary consumers	138000	184	1.42	"184, 305, 465,"
Connochaetes taurinus	mammals	artiodactyla	primary consumers	203000	"160, 299, 301, 327, 386, 397, 495, 568, 681, 727"	7.59	"528 66, 69, 153, 160, 223, 224, 293, 298, 492, 521, 569, 631, 682"
Damaliscus dorcas	mammals	artiodactyla	primary consumers	70000	"327, 681, 727"	18.8	"144, 171"
Damaliscus lunatus	mammals	artiodactyla	primary consumers	122000	"327, 681, 727"	11	"66, 67, 261, 265, 293, 368,463, 609, 626 630, 63!"
Gazella granti	mammals	artiodactyla	primary consumers	58800	"327, 386, 495, 681"	1.06	"57, 66, 223, 224, 293, 386,"
Gazella thomsoni	mammals	artiodactyla	primary consumers	21000	"326, 396, 495, 681"	6.64	"404, 576, 631 57, 66, 223, 224, 293, 631,"
Giraffa camelopardalis	mammals	artiodactyla	primary consumers	912000	"386, 681, 727"	0.937	"651 57, 66, 67, 139, 179, 198,222, 223, 224, 265, 293, 298, 386, 402, 404, 493, 576, 609, 675"
Artiodactyla (cont.) Hippotragus equinus	mammals	artiodactyla	primary consumers	225000	"160, 261, 327, 495, 681"	0.774	"67, 160, 198, 261, 368, 537,"
Hippotragus niger	mammals	artiodactyla	primary consumers	197000	"160, 327, 495, 681"	0.66	"569, 626, 675 160"
Hyemoschus aquaticus	mammals	artiodactyla	primary consumers	13300	162	17.9	162
Kobus defassa	mammals	artiodactyla	primary consumers	211000	"160, 261, 327,397, 495, 681"	9.11	"66, 67, 160,192, 194, 208,223, 224, 261, 265, 293, 385, 463, 609, 625, 626"
Kobus ellipsiprymus	mammals	artiodactyla	primary consumers	194000	"295, 327, 463, 681"	1.69	"66, 67, 295, 298, 386, 404,"
Kobus leche	mammals	artiodactyla	primary consumers	90600	"13, 47, 327, 495, 568, 569,681"	15.5	"675 13, 47, 569, 586"
Kobus vardoni	mammals	artiodactyla	primary consumers	9300	"17, 160, 327,568, 681"	0.15	160
Lama guanacoe	mammals	artiodactyla	primary consumers	9000	458	0.51	225
Litocranius walleri	mammals	artiodactyla	primary consumers	12000	"327, 397, 495"	1.03	"404, 729"
Madoqua kirkii	mammals	artiodactyla	primary consumers	4940	"327, 663, 681"	111	"293, 386, 663"
Mazama americana	mammals	artiodactyla	primary consumers	20000	182	10	183
Muntiacus muntjak	mammals	artiodactyla	primary consumers	14200	184	3.53	"36, 184, 294,"
Odocoileus hemionus	mammals	artiodactyla	primary consumers	9300	"93, 730"	10	"528, 529 50, 118, 180, 279, 306, 423, 594, 649, 650,730"
Odocoileus virginianus	mammals	artiodactyla	primary consumers	85100	93	12.6	"6, 100, 132, 190, 218, 275, 319, 343, 378, 389, 417, 433, 451, 502, 658, 672"
Oreotragus oreotragus	mammals	artiodactyla	primary consumers	14300	"164, 327, 495, 681"	4.6	"66, 164, 293"
Oryx gazella	mammals	artiodactyla	primary consumers	167000	"327, 495"	0.75	"404, 631"
Ourebia ourebi	mammals	artiodactyla	primary consumers	13600	"160, 261, 327,463, 495, 501,568, 681"	1.9	"67, 160, 261,293, 368, 446,463, 464, 501,569,626,675"
Ouibos moschatus	mammals	artiodactyla	primary consumers	250000	"93, 311, 700"	0.36	"206, 228, 311, 453, 454, 455,624 "
Oois canadensis	mammals	artiodactyla	primary consumers	75900	"93, 246"	1.68	"84, 246, 401, 604"
Pelea capreolus	mammals	artiodactyla	primary consumers	24000	"327, 494, 501"	5.71	"144,446, 501"
Phacochoerus aethiopicus	mammals	artiodactyla	primary consumers	60900	"160, 261, 301,386, 397, 463,568, 681, 727"	1.3	"66, 67, 69,194, 198, 208, 223, 224, 261, 293, 298, 386, 404, 463, 626,675"
Potamochoerus porcus	mammals	artiodactyla	primary consumers	65700	"160, 568, 681, 727"	0.27	"66, 153, 160"
Rangifer tarandus	mammals	artiodactyla	primary consumers	100000	"87, 93, 260, 414"	2.88	"27, 227, 238,288, 292, 324, 340, 349, 400, 414, 453, 454, 455, 503, 509, 513, 560, 602, 610, 659, 676, 699"
Raphicerus campestris	mammals	artiodactyla	primary consumers	12300	"327, 495"	0.6	"66, 153,2 293"
Raphicerus sharpei	mammals	artiodactyla	primary consumers	8210	"160, 327, 568,681"	0.85	160
Redunca arundinum	mammals	artiodactyla	primary consumers	59400	"160, 327, 495,568, 681, 727"	1.46	"69, 160, 569"
Redunca fulvorufula	mammals	artiodactyla	primary consumers	28000	"327, 495, 681, 727"	6.69	"317, 318, 501 317, 318,"
Redunca redunca	mammals	artiodactyla	primary consumers	43500	"261, 327, 495"	0.81	"66, 67, 198, 66, 67, 198, 208, 261, 293,304, 368, 463, 626, 675"
Saiga tatarica	mammals	artiodactyla	primary consumers	42500	674	0.8	28
Sus scrofa	mammals	artiodactyla	primary consumers	55300	"184, 294, 305, 674"	2.84	"4, 184, 287, 294, 529, 536, 549"
Sylvicapra grimmia	mammals	artiodactyla	primary consumers	11300	"160, 164, 261, 327, 350, 357, 495, 568, 681"	1.53	"66, 67, 153, 160, 164, 261, 293, 357, 626, 675"
Syncerus caffer	mammals	artiodactyla	primary consumers	544000	"160, 261, 327,386, 463, 495, 568, 681"	3.81	"66, 67, 69,160, 192, 195, 208, 261, 293,326, 348, 403, 404, 463, 493, 533, 576, 626, 631, 651"
Taurotragus oryx	mammals	artiodactyla	primary consumers	453000	"160, 327, 386,463, 495, 568,681, 727"	0.345	"57, 66, 67,265, 293, 404,463, 493, 569,576, 609, 626,631, 651, 670"
Tayassu tajacu	mammals	artiodactyla	primary consumers	1700	"93, 683"	7.46	"52, 191, 601, 723"
Tragelaphus angasi	mammals	artiodactyla	primary consumers	90600	"301, 327, 727"	0.209	153
Tragelaphus imberbis	mammals	artiodactyla	primary consumers	110000	"327, 386, 397,"	0.182	"386, 404"
Tragelaphus scriptus	mammals	artiodactyla	primary consumers	40800	"681 160, 164, 301, 327, 495, 568, 681, 707"	10.3	"14, 67, 160, 164, 192, 208, 261, 293, 323,"
Tragelaphus spekei	mammals	artiodactyla	primary consumers	74800	"327, 495, 681"	110	675 505
Tragelaphus strepsiceros	mammals	artiodactyla	primary consumers	171000	"160, 326, 327,495, 681, 706,727"	1.79	"66, 153, 160,298, 326, 569"
Tragulus memmina	mammals	artiodactyla	primary consumers	3200	184	3.1	184
Vicugna vicugna	mammals	artiodactyla	primary consumers	47500	458	3.5	"370, 458"
Ceratotherium simum	mammals	perissodactyla	primary consumers	2220000	"204, 727"	0.74	"67, 69, 204,"
Diceros bicornis	mammals	perissodactyla	primary consumers	952000	"301, 386, 681"	0.84	"66, 69, 255, 256, 293, 300,326, 386, 404, 431, 473, 493, 577, 631, 651, 675, 697"
Dicerorhinus sumatrensis	mammals	perissodactyla	primary consumers	1120000	184	0.093	"459, 635"
Equus burchelli	mammals	perissodactyla	primary consumers	259000	"463, 568, 681,727"	3.74	"66, 67, 69,160, 179, 223,224, 293, 298,404, 463, 493, 569, 576, 626, 630, 631, 651"
Equus greuyi	mammals	perissodactyla	primary consumers	390000	"159, 396"	2.57	"630, 631"
Equus zebra	mammals	perissodactyla	primary consumers	270000	159	1.5	336
Rhinoceros unicornis	mammals	perissodactyla	primary consumers	1255000	184	6.27	184
