key	species	dataset	is_terrestrial	genus	is_terrestrial_orig	n_occ	range
Acyrthosiphon pisum	Acyrthosiphon pisum	Leffler	TRUE	Acyrthosiphon	TRUE	2512	12045072.421827307
Aedes aegypti	Aedes aegypti	Leffler	TRUE	Aedes	TRUE	30000	38292658.52071776
Agelaius phoeniceus	Agelaius phoeniceus	Leffler	TRUE	Agelaius	TRUE	30000	13170324.908019817
Ailuropoda melanoleuca	Ailuropoda melanoleuca	Leffler	TRUE	Ailuropoda	TRUE	130	1413794.051074382
Amphimedon queenslandica	Amphimedon queenslandica	Leffler	FALSE	Amphimedon	FALSE	30000	3013.946997585753
Anopheles arabiensis	Anopheles arabiensis	Leffler	TRUE	Anopheles	TRUE	2532	10164155.78185777
Anopheles baimaii	Anopheles baimaii	Leffler	TRUE	Anopheles	TRUE	210	43964.05118162883
Anopheles cruzii	Anopheles cruzii	Leffler	TRUE	Anopheles	TRUE	574	11816.130877031494
Anopheles dirus	Anopheles dirus	Leffler	TRUE	Anopheles	TRUE	584	910573.0740678933
Anopheles gambiae	Anopheles gambiae	Leffler	TRUE	Anopheles	TRUE	12882	13194801.659879312
Anopheles melas	Anopheles melas	Leffler	TRUE	Anopheles	TRUE	277	746277.8284228529
Anopheles merus	Anopheles merus	Leffler	TRUE	Anopheles	TRUE	198	901186.6524335932
Anopheles quadriannulatus	Anopheles quadriannulatus	Leffler	TRUE	Anopheles	TRUE	216	927832.6391070845
Anopheles scanloni	Anopheles scanloni	Leffler	TRUE	Anopheles	FALSE	115	-Inf
Aphanarthrum subglabrum/glabrum	Aphanarthrum subglabrum	Leffler	FALSE	Aphanarthrum	FALSE	4	-Inf
Aphanarthrum subglabrum/glabrum	Aphanarthrum glabrum	Leffler	FALSE	Aphanarthrum	FALSE	8	-Inf
Apis cerana	Apis cerana	Leffler	TRUE	Apis	TRUE	7757	10864606.641241739
Apis mellifera	Apis mellifera	Leffler	TRUE	Apis	TRUE	30000	52360215.46708046
Aquila clanga/pomarina	Aquila clanga	Leffler	TRUE	Aquila	TRUE	30000	25120868.78868026
Aquila clanga/pomarina	Aquila pomarina	Leffler	TRUE	Aquila	TRUE	30000	17773192.86602436
Aquilegia formosa/pubescens	Aquilegia formosa	Leffler	TRUE	Aquilegia	TRUE	7753	3287450.682529588
Aquilegia formosa/pubescens	Aquilegia pubescens	Leffler	TRUE	Aquilegia	TRUE	554	332987.5092496992
Arabidopsis halleri	Arabidopsis halleri	Leffler	TRUE	Arabidopsis	FALSE	4182	2504180.509107287
Arabidopsis lyrata	Arabidopsis lyrata	Leffler	TRUE	Arabidopsis	TRUE	13836	16801166.452463422
Arabidopsis thaliana	Arabidopsis thaliana	Leffler	TRUE	Arabidopsis	TRUE	30116	12749423.283203306
Bactrocera depressa	Bactrocera depressa	Leffler	TRUE	Bactrocera	TRUE	60	221069.04070165256
Balaenoptera bonaerensis	Balaenoptera bonaerensis	Leffler	FALSE	Balaenoptera	FALSE	868	183147531.23955068
Boechera stricta	Boechera stricta	Leffler	TRUE	Boechera	TRUE	3545	8639865.712139728
Caenorhabditis briggsae	Caenorhabditis briggsae	Leffler	TRUE	Caenorhabditis	FALSE	66	-Inf
Caenorhabditis elegans	Caenorhabditis elegans	Leffler	TRUE	Caenorhabditis	TRUE	26	11043400
Caenorhabditis remanei	Caenorhabditis remanei	Leffler	TRUE	Caenorhabditis	FALSE	3	-Inf
Callithrix jacchus	Callithrix jacchus	Leffler	TRUE	Callithrix	TRUE	1026	966535.5153203342
Canis latrans/lupus	Canis latrans	Leffler	TRUE	Canis	TRUE	30000	13676282.852331135
Canis latrans/lupus	Canis lupus	Leffler	TRUE	Canis	TRUE	30000	63514902.46829881
Capsella grandiflora	Capsella grandiflora	Leffler	TRUE	Capsella	TRUE	207	51903.66685189125
Capsella rubella	Capsella rubella	Leffler	TRUE	Capsella	TRUE	8660	3233869.9641888705
