Publication	Species	Population Label	Ne	95% CI		N	Ne/N	Nemin/N	Nemax/N	+	-	body_length	source
Rowe & Beebee (2004)	Bufo calamita	Gibraltar Point	9.0	4	47	24	0.38	0.167	1.958	1.583	0.208	0.062	http://sciences.lv/wp-content/uploads/2018/11/Drobenkov2.pdf
Rowe & Beebee (2004)	Bufo calamita	Ainsdale 	26.0	7	121	1523	0.02	0.005	0.079	0.062	0.012	0.062	http://sciences.lv/wp-content/uploads/2018/11/Drobenkov2.pdf
Randall et al (2010)	Canis simensis	Sanetti	10	9.4	11	59	0.17	0.159	0.186	0.017	0.010	0.421	WP
Randall et al (2010)	Canis simensis	Web Valley	13	12	14.5	59	0.22	0.203	0.246	0.025	0.017	0.421	WP
Randall et al (2010)	Canis simensis	Morebawa	23	20	25.7	105	0.22	0.190	0.245	0.026	0.029	0.421	WP
Portnoy et al (2009)	Carcharhinus plumbeus	Delaware Bay	951.0	774	1146	1908	0.50	0.406	0.601	0.102	0.093	0.655	https://animaldiversity.org/accounts/Carcharhinus_plumbeus/
Borkowska & Ratkiewicz (2004)	Chletrionomys glareolus	SUP	48.0	20	1058	46	1.04	0.435	23.000	21.957	0.609	0.105	https://animaldiversity.org/accounts/Myodes_glareolus/
Borkowska & Ratkiewicz (2004)	Chletrionomys glareolus	SZE	64.0	27	∞	81	0.79	0.333	10.000	9.210	0.457	0.105	https://animaldiversity.org/accounts/Myodes_glareolus/
Watts et al (2007)	Coenagrion mercuriale	BAG 2002-2004	86.0	25	∞	405	0.21	0.062	10.000	9.788	0.151	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Watts et al (2007)	Coenagrion mercuriale	GRE 2002-2004	250.0	38	∞	591	0.42	0.064	10.000	9.577	0.359	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Watts et al (2007)	Coenagrion mercuriale	HAT 2002-2004	38.0	17	135	938	0.04	0.018	0.144	0.103	0.022	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Watts et al (2007)	Coenagrion mercuriale	ROU 2002-2004	2709.0	89	∞	6785	0.40	0.013	10.000	9.601	0.386	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Watts et al (2007)	Coenagrion mercuriale	BHW 2002-2004	127.0	58	447	11415	0.01	0.005	0.039	0.028	0.006	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Watts et al (2007)	Coenagrion mercuriale	BHE 2002-2004	321.0	107	∞	19779	0.02	0.005	10.000	9.984	0.011	0.0245	http://defworld.freeoda.com/Species%20Details/Coenagrion%20mercuriale.html#:~:text=The%20species%20has%20a%20body%20length%2023%2D26%20mm.
Holycross & Douglas (2007)	Crotalus willardi	ANM	220.0	103	293	300	0.73	0.343	0.977	0.243	0.390	0.45	WP
Martin (2010)	Cyprinodon nevadensis	North Indian	65.0	22	212	45	1.44	0.489	4.711	3.267	0.956	0.078	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=657
Martin (2010)	Cyprinodon nevadensis	South Scruggs	66.0	13	114	57	1.16	0.228	2.000	0.842	0.930	0.078	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=658
Martin (2010)	Cyprinodon nevadensis	Marsh	508.0	44	∞	171	2.97	0.257	10.000	7.029	2.713	0.078	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=659
Martin (2010)	Cyprinodon nevadensis	School	51.0	10	263	383	0.13	0.026	0.687	0.554	0.107	0.078	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=660
Husband & Barrret (1992)	Echhornia paniculata	B72	5.0	0	57	30	0.17	0.000	1.900	1.733	0.167		
Husband & Barrret (1992)	Echhornia paniculata	B59	3.0	0.6	11	36	0.08	0.017	0.306	0.222	0.067		
Husband & Barrret (1992)	Echhornia paniculata	B75	7.0	1	27	42	0.17	0.024	0.643	0.476	0.143		
Husband & Barrret (1992)	Echhornia paniculata	B85	8.0	2	22	50	0.16	0.040	0.440	0.280	0.120		
Husband & Barrret (1992)	Echhornia paniculata	B81	11.0	1	36	67	0.16	0.015	0.537	0.373	0.149		
Husband & Barrret (1992)	Echhornia paniculata	B69	17.0	3	46	116	0.15	0.026	0.397	0.250	0.121		
Husband & Barrret (1992)	Echhornia paniculata	B78	12.0	2	72	140	0.09	0.014	0.514	0.429	0.071		
Husband & Barrret (1992)	Echhornia paniculata	B58	12.0	3	30	828	0.01	0.004	0.036	0.022	0.011		
Husband & Barrret (1992)	Echhornia paniculata	B34	71.0	16	350	1310	0.05	0.012	0.267	0.213	0.042		
Husband & Barrret (1992)	Echhornia paniculata	B63	11.0	1	74	5040	0.00	0.000	0.015	0.013	0.002		
Miller & Kapuscinki (1997)	Esox lucius	Lake Escanaba 61-77-93 Neh	48.0	19	101	960	0.05	0.020	0.105	0.055	0.030	0.61	https://www.cabi.org/isc/datasheet/83118
Zeller et al (2008)	Eudiaptomus gracilis	Lake Schohsee  0,3,4,6 g	3434.6	1798.5	16746.2	2.10E+10	0.00	0.000	0.000	0.000	0.000	0.015	https://www.artsdatabanken.no/Pages/220898/
Zeller et al (2008)	Eudiaptomus graciloides	Lake Schohsee  0,3,4,6 g	1593.4	870.6	4977.3	5.00E+10	0.00	0.000	0.000	0.000	0.000	0.015	https://www.artsdatabanken.no/Pages/220898/
Brown et al (2007)	Falco peregrinus	P. paelei	293.0	130	1485	756	0.39	0.172	1.964	1.577	0.216	0.46	WP
Kaeuffer et al (2004)	Felis catus	BAC	22.1	10.5	43	51	0.43	0.206	0.843	0.410	0.227	0.46	https://naturalhistory2.si.edu/smsfp/irlspec/Felis_catus.htm
Kaeuffer et al (2004)	Felis catus	LCR	22.6	14.4	36	56	0.40	0.257	0.643	0.239	0.146	0.46	https://naturalhistory2.si.edu/smsfp/irlspec/Felis_catus.htm
Coyer et al (2008)	Fucus serratus	Slattholmen Norway	99.0	73	193	208000	0.00	0.000	0.001	0.000	0.000		
Hutchinson et al (2003)	Gadus morhua	Flamborough Head 60-71	121.0	51	426	3.10E+06	0.00	0.000	0.000	0.000	0.000	1.75	https://animaldiversity.org/accounts/Gadus_morhua/
