species	bodymass_g	bodymass_notes	bodymass_source	size_cm	bodysize_notes	bodysize_source	fecundity	fecundity_notes	fecundity_source	longevity_years	longevity_notes	longevity_source	propagule_size_cm	propagule_notes	propagule_source	mass	size	propagule	log10_size	log10_mass	log10_propagule	common_name	family	order	class	phylum	number_of_inds	contigs_number	average_length_of_contigs	SNP_number	piS	piN	piNpiS	fit	invasive_status	maximal_geoographic_distance	mean_geographic_distance	mean_distance_from_equator	genus
Abatus agassizi	9.28	NA	2	2.45	NA	1	0.299	A. cordatus	86	NA	NA	NA	0.2	A. cordatus	86	0.00928	0.0245	0.002	-1.6108339156354674	-2.032452023781138	-2.6989700043360187	heart urchin	Schizasteridae	Spatangoida	Echnoidea	Echinodermata	2	2614	167	7604	0.00727197	0.00212556	0.292295	-0.268249	0	2637465.29479939	938125.587329787	61.2774529565217	Abatus
Abatus cordatus	9.28	NA	2	2.77	NA	2	0.299	NA	86	NA	NA	NA	0.2	NA	86	0.00928	0.0277	0.002	-1.5575202309355514	-2.032452023781138	-2.6989700043360187	heart urchin	Schizasteridae	Spatangoida	Echnoidea	Echinodermata	8	1470	100	2989	0.00282628	8.29958e-4	0.293658	-0.0257053	0	874677.426492342	244883.914255201	49.9180025714286	Abatus
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Aporrectodea icterica	0.95	NA	49	9.5	NA	4	2.67	NA	108	NA	NA	NA	0.0411	Estimated from the ratio adult/propagule size of A. chlorotica	6987	9.5e-4	0.095	4.1099999999999996e-4	-1.0222763947111522	-3.0222763947111524	-3.3861581781239307	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	3281	138	21954	0.0265455	0.00397339	0.149683	0.0395112	0	1358763.96128087	523466.605931041	51.4743171351351	Aporrectodea
