phylum	class	total_species	nspecies	frac
Annelida	Clitellata	8000	2	2.5e-4
Annelida	Polychaeta	10000	1	1e-4
Arthropoda	Arachnida	102248	1	9.780142398873327e-6
Arthropoda	Branchiopoda	800	6	0.0075
Arthropoda	Euchelicerata	77000	1	1.2987012987012988e-5
Arthropoda	Insecta	1000000	55	5.5e-5
Arthropoda	Malacostraca	40000	5	1.25e-4
Chordata	Ascidiacea	2300	3	0.0013043478260869566
Chordata	Aves	9990	12	0.0012012012012012011
Chordata	Holostei	8	1	0.125
Chordata	Mammalia	5487	38	0.006925460178603973
Chordata	Reptilia	8734	4	4.579803068468056e-4
Chordata	Teleostei	30000	10	3.333333333333333e-4
Cnidaria	Anthozoa	6000	2	3.333333333333333e-4
Echinodermata	Echinoidea	940	7	0.007446808510638298
Echinodermata	Ophiuroidea	2064	1	4.8449612403100775e-4
Mollusca	Bivalvia	10000	7	7e-4
Mollusca	Cephalopoda	800	1	0.00125
Mollusca	Gastropoda	63245.553203367585	5	7.905694150420948e-5
Nematoda	Chromadorea	2124	1	4.7080979284369113e-4
Nemertea	Anopla	600	2	0.0033333333333333335
Porifera	Demospongiae	8800	1	1.1363636363636364e-4
