species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Acacia mangium	plant	0.6357	13	9.66	NA	8	252	FALSE	Stapley et al (2017)	Acacia	0.9030899869919435
Acromyrmex echinatior	animal	0.335	19	20.338	male.haploid	0.0055	145	FALSE	Stapley et al (2017)	Acromyrmex	-2.2596373105057563
Acropora millepora	animal	0.42	14	13.91	hermaphrodite	NA	429	FALSE	Stapley et al (2017)	Acropora	NA
Actinidia chinensis	plant	1.40832	29	34.45	NA	3	12753	FALSE	Stapley et al (2017)	Actinidia	0.47712125471966244
Acyrthosiphon pisum	animal	0.165	5	3.94	parthenogenic	0.004	173	FALSE	Stapley et al (2017)	Acyrthosiphon	-2.3979400086720375
Aedes aegypti	animal	0.94214	3	2.35	gonochorous	0.0026325	2006	FALSE	Stapley et al (2017)	Aedes	-2.579631620142476
Aedes albopictus	animal	1.09047	3	2.126	gonochorous	0.00263	172	FALSE	Stapley et al (2017)	Aedes	-2.580044251510242
Aegilops sharonensis	plant	6.8949	7	8.18	NA	0.8	401	FALSE	Stapley et al (2017)	Aegilops	-0.09691001300805639
Aegilops tauschii	plant	4.32721	7	13.744000000000002	NA	0.750825	7185	FALSE	Stapley et al (2017)	Aegilops	-0.12446127523384479
Aegilops umbellulata	plant	4.9389	7	9.4872	NA	0.8	2395	FALSE	Stapley et al (2017)	Aegilops	-0.09691001300805639
Agaricus bisporus	fungi	0.0302337	13	11.56	NA	0.06	320	FALSE	Stapley et al (2017)	Agaricus	-1.2218487496163564
Agrostis capillaris	plant	4.00002	14	11.56	NA	0.28	212	FALSE	Stapley et al (2017)	Agrostis	-0.5528419686577808
Agrostis stolonifera	plant	3.423	14	14.24	NA	0.32	424	FALSE	Stapley et al (2017)	Agrostis	-0.494850021680094
Allium cepa	plant	16.3815	9	8.08	NA	0.43	16836	FALSE	Stapley et al (2017)	Allium	-0.36653154442041347
Amaranthus hybridus	plant	0.61614	16	12.88	NA	2.5	419	FALSE	Stapley et al (2017)	Amaranthus	0.3979400086720376
Ambystoma tigrinum	animal	30.87546	14	52.513000000000005	gonochorous	0.17	1095	FALSE	Stapley et al (2017)	Ambystoma	-0.769551078621726
Ananas comosus	plant	0.5379	25	21.13	NA	0.91	NA	FALSE	Stapley et al (2017)	Ananas	-0.040958607678906384
Anas platyrhynchos	animal	1.37572	40	17.66	gonochorous	0.5842	260	FALSE	Stapley et al (2017)	Anas	-0.23343844736246902
Anguilla japonica	animal	1.15114	19	14.365	gonochorous	0.4	2787	FALSE	Stapley et al (2017)	Anguilla	-0.3979400086720376
Anopheles funestus	animal	0.225224	3	1.45	gonochorous	0.003	53	FALSE	Stapley et al (2017)	Anopheles	-2.5228787452803374
Anoplopoma fimbria	animal	0.75795	24	13.328	NA	0.75	755	FALSE	Stapley et al (2017)	Anoplopoma	-0.12493873660829995
Anthurium andreanum	plant	4.6944	15	10.235	NA	0.381	NA	FALSE	Stapley et al (2017)	Anthurium	-0.4190750243243807
Apis cerana	animal	0.18582	16	39.427	male.haploid	0.01084	1535	FALSE	Stapley et al (2017)	Apis	-1.9649707177976319
Apis mellifera	animal	0.22983	16	41.15	male.haploid	0.015	2008	FALSE	Stapley et al (2017)	Apis	-1.8239087409443189
