species	phylum	log10_popsize	log10_diversity
Abatus agassizi	Echinodermata	11.065298198284022	-2.1383479214336867
Acyrthosiphon pisum	Arthropoda	13.415739698676683	-2.054900870000545
Aedes aegypti	Arthropoda	14.35740153216626	-1.8474059220725303
Agelaius phoeniceus	Chordata	9.246086360300021	-2.2291479883578558
Ailuropoda melanoleuca	Chordata	6.2338291555483885	-2.869666231504994
Allolobophora chlorotica	Annelida	10.162936554916952	-1.3470587637088103
Amphimedon queenslandica	Porifera	6.007838124954851	-1.625251653989896
Anopheles arabiensis	Arthropoda	13.661771516624617	-1.6575773191777938
Anopheles gambiae	Arthropoda	13.770845010346827	-1.530558694504838
Anopheles merus	Arthropoda	12.581414688175684	-1.9065783148377649
Anopheles quadriannulatus	Arthropoda	11.967964660193333	-1.6420651529995463
Apis cerana	Arthropoda	12.323963984424365	-2.0716041477432863
Apis mellifera	Arthropoda	12.418422282913994	-2.1335669902664316
Aporrectodea icterica	Annelida	8.82606075752416	-1.5760090900555086
Aptenodytes patagonicus	Chordata	6.480454618381803	-2.579221028630964
Aquila clanga/pomarina	Chordata	8.057705220200122	-2.9419537696047184
Armadillidium nasatum	Arthropoda	11.414626991946152	-1.7327930599583654
Armadillidium vulgare	Arthropoda	12.094283180797516	-1.72800978334805
Artemia franciscana	Arthropoda	11.344842596264554	-1.9698052146432488
Artemia salina	Arthropoda	11.836453435296825	-2.228603621336012
Bactrocera depressa	Arthropoda	11.026327622318616	-2.638272163982407
Balaenoptera bonaerensis	Chordata	7.011476502597303	-2.4122890349810886
Bombyx mandarina	Arthropoda	10.097098865454297	-1.5585717951784646
Bos taurus	Chordata	6.8533599392702795	-2.9161569761858166
Bostrycapulus aculeatus	Mollusca	12.594448434347296	-1.0785315066229717
Caenorhabditis elegans	Nematoda	15.17881504849919	-2.5365149967054506
Callithrix jacchus	Chordata	8.440611262791142	-2.910094888560602
Camponotus aethiops	Arthropoda	11.436682605559449	-2.477874104918956
Camponotus ligniperdus	Arthropoda	11.306374027872346	-2.7837892185363415
Canis latrans/lupus	Chordata	8.669251761718906	-2.7664962396588657
Canis lupus	Chordata	7.9154456837427025	-2.8264319472914354
Carcinus aestuarii	Arthropoda	10.447444561911482	-2.0598168344688035
Cecidostiba fungosa	Arthropoda	12.034552832339779	-1.9482688039401503
Ceratitis capitata	Arthropoda	13.86161340841432	-1.5300307905000405
Chelonoidis nigra	Chordata	4.522925361652681	-2.786798450098201
Chlorocebus aethiops	Chordata	7.357595469579808	-2.632644078973981
Cichla pleiozona	Chordata	6.993637812730931	-1.9857595608853897
Ciona intestinalis	Chordata	9.011566625516197	-1.5274179615141306
Ciona savignyi	Chordata	8.141830101481139	-1.0963674839157622
Crassostrea gigas	Mollusca	9.579198365818312	-1.479123618311658
Crepidula fornicata	Mollusca	10.817447280770278	-1.6460991494133108
Crepidula plana	Mollusca	13.083655794781015	-1.6006447625380102
Culex hortensis	Arthropoda	12.29650451866097	-1.4844745260001568
Culex pipiens	Arthropoda	13.007199687892983	-1.3840793930354238
Culex torrentium	Arthropoda	11.434968920545396	-1.7873171028343093
Cynoglossus semilaevis	Chordata	7.249395552290475	-2.1936989945339356
Cystodytes dellechiajei	Chordata	13.356694863852132	-1.4090645869568938
Danio rerio	Chordata	10.5982537222051	-2.0374431170467413
Daphnia magna	Arthropoda	12.330243916616402	-1.8800845897420089
Daphnia obtusa	Arthropoda	11.8946758882656	-1.92940806848796
Daphnia pulex	Arthropoda	12.39638341033959	-1.6569855028492324
Daphnia pulicaria	Arthropoda	11.93715567760299	-1.69411146971569
Dasypus novemcinctus	Chordata	8.186837643888254	-2.815308569182401
Daubentonia madagascariensis	Chordata	6.340595161162095	-3.136677139879544
Drosophila americana	Arthropoda	13.139364289395091	-1.6669559701765129
Drosophila ananassae	Arthropoda	14.230014703252783	-1.6270879970298935
Drosophila arizonae	Arthropoda	12.955471626567935	-2.0817074872446444
Drosophila bipectinata	Arthropoda	13.70334275235997	-1.6968039425795112
Drosophila buzzatii	Arthropoda	13.285401724284213	-1.7130946470276252
Drosophila kikkawai	Arthropoda	14.093439541350598	-1.490797477668897
Drosophila malerkotliana	Arthropoda	13.788517129181868	-1.7746907182741372
Drosophila melanogaster	Arthropoda	14.552758796759099	-1.8398615099480538
Drosophila miranda	Arthropoda	10.673400702607653	-2.354250331855227
Drosophila mojavensis	Arthropoda	12.520919314389246	-2.1073489661226996
Drosophila novamexicana	Arthropoda	11.881271182418766	-2.694648630553376
Drosophila parabipectinata	Arthropoda	13.582743717137626	-1.8761483590329142
Drosophila persimilis	Arthropoda	12.562600800863574	-2.109578981199086
Drosophila pseudoobscura	Arthropoda	13.525850218784074	-1.9219644709288228
Drosophila sechellia	Arthropoda	9.21757693843129	-3.0177287669604316
Drosophila simulans	Arthropoda	14.73918527427539	-1.5917600346881504
Drosophila subobscura	Arthropoda	13.838148495021017	-2.0052430554123717
Echinocardium cordatum	Echinodermata	11.536110285103078	-1.281006168236054
Echinocardium mediterraneum	Echinodermata	9.32652922889517	-1.6769150476808374
Emys orbicularis	Chordata	8.845315008507386	-2.3861338752197874
Equus ferus przewalskii	Chordata	2.766308090324165	-2.4405628884153567
Eschrichtius robustus	Chordata	5.475713452978101	-2.9318141382538383
Eudyptes filholi	Chordata	5.7783790807388025	-2.371718379489883
Eudyptes moseleyi	Chordata	4.991008328841524	-2.5283900207833057
Eulemur coronatus	Chordata	6.6807254674973064	-2.55129368009492
Eulemur mongoz	Chordata	5.888585359565682	-2.612610173661271
Eunicella verrucosa	Cnidaria	8.019095843301237	-1.8340467764653887
Ficedula albicollis	Chordata	9.155900252573485	-2.4201594408308473
Ficedula hypoleuca	Chordata	9.601544601127767	-2.5086383061657274
Galago moholi	Chordata	8.218598761309423	-2.6903698325741012
Gallus gallus	Chordata	8.235611508759067	-2.2303571913552602
Gasterosteus aculeatus	Chordata	10.627815174655096	-2.4725388341289096
Gorilla beringei/gorilla	Chordata	5.909631384020043	-2.923905953317525
Gryllus firmus	Arthropoda	11.13262216122691	-2.0510982390297863
Gryllus pennsylvanicus	Arthropoda	11.40460161286456	-2.032452023781138
Gulo gulo	Chordata	7.823293965422809	-3.537602002101044
Halictus scabiosae	Arthropoda	11.341739583224761	-2.6755899508508274
Heliconius cydno	Arthropoda	9.86416662920505	-1.6152882570617175
Heliconius hecale	Arthropoda	11.518585209266467	-1.6765416331505323
Heliconius melpomene	Arthropoda	11.008951207091435	-1.715861397604603
Heliconius pachinus	Arthropoda	8.467088174768213	-1.725611204449621
Hippocampus guttulatus	Chordata	9.365861060780682	-2.789077153126379
Hippocampus hippocampus	Chordata	9.627978895731193	-2.3949666075595712
Hippocampus kuda	Chordata	9.595685881166789	-2.9265676084995085
Homo sapiens	Chordata	8.430070653252573	-2.965413442358244
Hylobates agilis/lar/moloch/pileatus	Chordata	7.020527801758333	-2.593034249241052
Ixodes ricinus	Arthropoda	11.988019530284877	-2.0604807473813813
Lepisosteus oculatus	Chordata	7.682205815966142	-2.2087291751210425
Leptogorgia sarmentosa	Cnidaria	7.608818064205474	-1.6835389902346227
Lepus granatensis	Chordata	7.115973997930928	-2.400421477298307
Limenitis arthemis	Arthropoda	10.374770504555562	-1.8452717925598443
Lineus longissimus	Nemertea	12.01116810479323	-1.7498802037926589
Lineus ruber	Nemertea	11.32934353648444	-2.0159333280185865
Liocarcinus depurator	Arthropoda	10.314521707980077	-1.8281214967844723
Lynx lynx	Chordata	7.474752037052605	-3.987162775294828
Macaca mulatta	Chordata	7.945319271036481	-2.5415839611485387
Malurus melanocephalus	Chordata	9.262062940632124	-1.9208187539523751
Melanoplus oregonensis	Arthropoda	10.054869680928448	-2.0291883891274822
Meleagris gallopavo	Chordata	7.242120489023054	-2.6249693468775677
Melitaea cinxia	Arthropoda	10.767933512826723	-1.4656869988054766
Melitaea didyma	Arthropoda	10.755713464386357	-1.512518002976917
Mellicta athalia	Arthropoda	10.719474383551043	-1.5707856740880055
Mellicta parthenoides	Arthropoda	9.914599797809444	-1.7832325744067323
Mesobuthus cyprius/gibbosus	Arthropoda	8.474665947405368	-1.9024928085494544
Messor barbarus	Arthropoda	11.26486262293943	-2.235849283176715
Microtus arvalis	Chordata	9.977357948401808	-2.070794697514355
Monodelphis domestica	Chordata	8.98067975062244	-2.785156151952302
Mus musculus	Chordata	10.69912246035531	-2.381370907238845
Mus musculus castaneus	Chordata	9.035898079680818	-2.0920165975832514
Mytilus californianus	Mollusca	8.85123311123762	-1.7036376053638658
Mytilus edulis	Mollusca	10.022500419031838	-1.4697157571186825
Mytilus galloprovincialis	Mollusca	10.180689642375304	-1.4759441760699734
Mytilus trossulus	Mollusca	9.464230739962678	-1.1598054239186675
Nasonia vitripennis	Arthropoda	13.93838351915157	-2.795880017344075
Necora puber	Arthropoda	9.767851996610117	-2.2282677784135543
Nomascus gabriellae/leucogenys	Chordata	6.098744555808129	-2.6225116166238673
Nycticebus coucang	Chordata	8.294828788012113	-2.669586226650809
Oncorhynchus tshawytscha	Chordata	7.674842486593666	-2.5837756829014316
Ophioderma longicauda	Echinodermata	11.626088744573257	-1.9117368322839714
Oryctolagus cuniculus	Chordata	8.655986684437584	-2.0741724253752576
Oryzias latipes	Chordata	9.81657073862786	-2.517017603838023
Ostrea chilensis	Mollusca	8.29844794622446	-2.185387537064908
Ostrea edulis	Mollusca	9.791075900740303	-2.2760118433470327
Ostreola stentina	Mollusca	7.812617429814434	-1.6855534042128066
Ovis canadensis	Chordata	6.721365403440326	-2.654094846679253
Pan paniscus	Chordata	6.261818154215748	-3
Pan troglodytes	Chordata	7.4821358098831325	-2.7536655826844765
Papilio dardanus	Arthropoda	10.193851286336653	-1.7695510786217261
Papio anubis	Chordata	7.2327069626156755	-2.7231215870098837
Parus caeruleus	Chordata	9.635518177496444	-2.2720620408617243
Pectinaria koreni	Annelida	11.079617861398855	-1.5442174673542808
Peromyscus maniculatus	Chordata	9.789532291871495	-1.8817352739105206
Pheidole pallidula	Arthropoda	12.135410593798259	-2.5097085486008157
Physa acuta	Mollusca	12.636552933498168	-1.4982466954811038
Physa gyrina	Mollusca	11.913792554540459	-1.6913544972512147
Pieris rapae	Arthropoda	11.06872123767268	-1.678712334830137
Pongo abelii/pygmaeus	Chordata	5.498743364327649	-2.5086383061657274
Propithecus coquereli	Chordata	6.118498901234977	-2.166852888087215
Reticulitermes flavipes	Arthropoda	12.384278353490247	-2.592364395769324
Reticulitermes grassei	Arthropoda	11.34927774076926	-2.949701464014227
Reticulitermes lucifugus	Arthropoda	8.607474224476825	-2.9157026179314416
Sepia officinalis	Mollusca	8.947199663333423	-2.6718528980857053
Sistrurus catenatus	Chordata	7.576455816046767	-3.5065419490048115
Spermophilus parryii	Chordata	8.073630364652248	-2.586700235918748
Strongylocentrotus droebachiensis	Echinodermata	11.114985966018056	-1.8386319977650252
Strongylocentrotus pallidus	Echinodermata	10.348200129159512	-1.603451962012868
Strongylocentrotus purpuratus	Echinodermata	9.867014365981781	-1.7721132953863266
Sus scrofa	Chordata	7.638779918255618	-2.3557378415740495
Symphalangus syndactylus	Chordata	6.776210161748122	-2.774690718274137
Taeniopygia guttata	Chordata	8.400464768937118	-2.2164537177296504
Takifugu rubripes	Chordata	7.840112399198832	-2.3979400086720375
Thymelicus lineola	Arthropoda	12.134443940748866	-1.4997031344390943
Thymelicus sylvestris	Arthropoda	11.79707030050578	-1.642450093219064
Trachemys scripta	Chordata	9.585398810249112	-2.0409977436702427
Tripylus abatoides	Echinodermata	10.761541141334346	-2.0601115044893152
Tupaia belangeri	Chordata	8.765489690710885	-2.2740883677049517
Varecia variegata variegata	Chordata	6.457417308860489	-2.425968732272281
Zonotrichia albicollis	Chordata	9.30140276029663	-2.1804560644581312
