species	phylum	log10_popsize
Abatus agassizi	Echinodermata	11.065298198284022
Acyrthosiphon pisum	Arthropoda	13.415739698676683
Aedes aegypti	Arthropoda	14.35740153216626
Agelaius phoeniceus	Chordata	9.246086360300021
Ailuropoda melanoleuca	Chordata	6.2338291555483885
Allolobophora chlorotica	Annelida	10.162936554916952
Amphimedon queenslandica	Porifera	6.007838124954851
Anopheles arabiensis	Arthropoda	13.661771516624617
Anopheles gambiae	Arthropoda	13.770845010346827
Anopheles merus	Arthropoda	12.581414688175684
Anopheles quadriannulatus	Arthropoda	11.967964660193333
Apis cerana	Arthropoda	12.323963984424365
Apis mellifera	Arthropoda	12.418422282913994
Aporrectodea icterica	Annelida	8.82606075752416
Aptenodytes patagonicus	Chordata	6.480454618381803
Aquila clanga/pomarina	Chordata	8.057705220200122
Armadillidium nasatum	Arthropoda	11.414626991946152
Armadillidium vulgare	Arthropoda	12.094283180797516
Artemia franciscana	Arthropoda	11.344842596264554
Artemia salina	Arthropoda	11.836453435296825
Bactrocera depressa	Arthropoda	11.026327622318616
Balaenoptera bonaerensis	Chordata	7.011476502597303
Bombyx mandarina	Arthropoda	10.097098865454297
Bos taurus	Chordata	6.8533599392702795
Bostrycapulus aculeatus	Mollusca	12.594448434347296
Caenorhabditis elegans	Nematoda	15.17881504849919
Callithrix jacchus	Chordata	8.440611262791142
Camponotus aethiops	Arthropoda	11.436682605559449
Camponotus ligniperdus	Arthropoda	11.306374027872346
Canis latrans/lupus	Chordata	8.669251761718906
Canis lupus	Chordata	7.9154456837427025
Carcinus aestuarii	Arthropoda	10.447444561911482
Cecidostiba fungosa	Arthropoda	12.034552832339779
Ceratitis capitata	Arthropoda	13.86161340841432
Chelonoidis nigra	Chordata	4.522925361652681
Chlorocebus aethiops	Chordata	7.357595469579808
Cichla pleiozona	Chordata	6.993637812730931
Ciona intestinalis	Chordata	9.011566625516197
Ciona savignyi	Chordata	8.141830101481139
Crassostrea gigas	Mollusca	9.579198365818312
Crepidula fornicata	Mollusca	10.817447280770278
Crepidula plana	Mollusca	13.083655794781015
Culex hortensis	Arthropoda	12.29650451866097
Culex pipiens	Arthropoda	13.007199687892983
Culex torrentium	Arthropoda	11.434968920545396
