species	phylum	log10_popsize	map_length	social
Acromyrmex echinatior	Arthropoda	11.617818883879833	20.338	TRUE
Acyrthosiphon pisum	Arthropoda	13.415739698676683	3.94	FALSE
Aedes aegypti	Arthropoda	14.35740153216626	2.35	FALSE
Aedes albopictus	Arthropoda	14.221068404987681	2.126	FALSE
Ambystoma tigrinum	Chordata	9.36104517963427	52.513000000000005	FALSE
Anas platyrhynchos	Chordata	8.369442149428876	17.66	FALSE
Anguilla japonica	Chordata	8.501588408096508	14.365	FALSE
Anopheles funestus	Arthropoda	12.31794432804945	1.45	FALSE
Anopheles gambiae	Arthropoda	13.770845010346827	1.661	FALSE
Anoplopoma fimbria	Chordata	7.363607849038297	13.328	FALSE
Apis cerana	Arthropoda	12.323963984424365	39.427	TRUE
Apis mellifera	Arthropoda	12.418422282913994	41.1475	TRUE
Apostichopus japonicus	Echinodermata	7.848009440149826	37.066	FALSE
Argopecten irradians	Mollusca	8.668575524377625	8.493	FALSE
Aristichthys nobilis	Chordata	6.923225443861051	19.173	FALSE
Artemia franciscana	Arthropoda	11.344842596264554	11.77	FALSE
Astatotilapia burtoni	Chordata	7.615284119909698	12.493	FALSE
Astyanax mexicanus	Chordata	9.247303651830387	21.107	FALSE
Bactrocera cucurbitae	Arthropoda	12.943488494594611	6.46	FALSE
Bicyclus anynana	Arthropoda	10.41363643692129	16.422	FALSE
Bison bison	Chordata	4.598276421067701	26.47	FALSE
Biston betularia	Arthropoda	10.777677427252831	16.38	FALSE
Bombus terrestris	Arthropoda	11.713342922965158	20.47	TRUE
Bombyx mandarina	Arthropoda	10.097098865454297	14.13	FALSE
Bombyx mori	Arthropoda	9.780982200415364	33.2	FALSE
Bos taurus	Chordata	6.8533599392702795	31.282329999999998	FALSE
Canis lupus	Chordata	7.9154456837427025	20.8495	FALSE
Capra hircus	Chordata	7.7593068864465735	27.37	FALSE
Carassius auratus	Chordata	8.618544453691587	52.52	FALSE
Chlamys farreri	Mollusca	8.900228844006289	15.618	FALSE
Ciona intestinalis	Chordata	9.011566625516197	42.18899999999999	FALSE
Ciona savignyi	Chordata	8.141830101481139	6.5	FALSE
Clunio marinus	Arthropoda	12.53330155393701	1.7965	FALSE
Coregonus clupeaformis	Chordata	8.216204822385768	30.61	FALSE
Coturnix japonica	Chordata	9.34520559169912	28.16	FALSE
Crassostrea gigas	Mollusca	9.579198365818312	5.88	FALSE
Crassostrea virginica	Mollusca	9.888749601319756	9.05	FALSE
Crocodylus porosus	Chordata	5.810665539215801	10.715499999999999	FALSE
Ctenopharyngodon idella	Chordata	10.077179659096174	11.761	FALSE
Culex pipiens	Arthropoda	13.007199687892983	1.899	FALSE
Cyanistes caeruleus	Chordata	9.607595659747698	9.35	FALSE
Cynoglossus semilaevis	Chordata	7.249395552290475	16.222	FALSE
Cyprinus carpio	Chordata	9.064010694641711	35.659	FALSE
Danio rerio	Chordata	10.5982537222051	21.773629999999997	FALSE
Daphnia magna	Arthropoda	12.330243916616402	16.145	FALSE
Daphnia pulex	Arthropoda	12.39638341033959	12.06	FALSE
Dicentrarchus labrax	Chordata	7.855133945408438	13.731	FALSE
Drosophila melanogaster	Arthropoda	14.552758796759099	1.0546084999999998	FALSE
Drosophila serrata	Arthropoda	12.48229403561902	2.4530000000000003	FALSE
Epinephelus aeneus	Chordata	7.249780254910955	9.695	FALSE
Equus caballus	Chordata	7.609117054613616	27.72	FALSE
Equus ferus przewalskii	Chordata	2.766308090324165	20	FALSE
Eriocheir sinensis	Arthropoda	10.059543039646869	51.2553	FALSE
Esox lucius	Chordata	8.47273882524871	12.892999999999999	FALSE
Felis silvestris	Chordata	8.646612615830309	44.64	FALSE
Ficedula albicollis	Chordata	9.155900252573485	24.595305000000003	FALSE
